"location	time	id"
"PARIS	06:40:00	1"
"Morel	08:10:00	1"
"MONTEREAU	08:25:00	1"
"MONTEREAU	08:30:00	1"
"Laroche	10:10:00	1"
"Laroche	10:10:00	1"
"TONNERRE	11:05:00	1"
"TONNERRE	11:35:00	1"
"Nuits et Rivières	12:05:00	1"
"Nuits et Rivières	12:15:00	1"
"Les Larmes	12:55:00	1"
"Dijon	14:20:00	1"
"Dijon	14:30:00	1"
"Chagny	15:35:00	1"
"Chagny	15:45:00	1"
"Chatons Côme	16:05:00	1"
"Chatons Côme	16:15:00	1"
"MACON	17:30:00	1"
"MACON	17:40:00	1"
"St-Germain	18:50:00	1"
"LYON	19:20:00	1"
"PARIS	11:05:00	2"
"MONTEREAU	12:40:00	2"
"MONTEREAU	12:50:00	2"
"Laroche	14:10:00	2"
"Laroche	14:20:00	2"
"Dijon	17:30:00	2"
"Dijon	18:10:00	2"
"Chagny	19:10:00	2"
"Chagny	19:20:00	2"
"MACON	20:35:00	2"
"MACON	20:40:00	2"
"lYON	22:10:00	2"
